,User 0,User 1,User 2,User 3,User 4,precisionG,recallG,fscoreG,T,C,Quantity,,,,
365,49,465,325,180,116,0,0,0,0,0,632,,,,
366,77,307,516,73,290,1,1,1,2,2,892,,,,
367,331,346,514,397,456,0,0,0,0,0,595,,,,
368,376,378,11,550,10,0,0,0,0,0,515,,,,
369,473,211,311,383,501,0,0,0,0,0,734,,,,
370,452,391,416,556,306,1,1,1,5,5,903,,,,
371,250,342,400,553,68,0,0,0,0,0,843,,,,
372,526,282,442,193,455,1,1,1,3,3,751,,,,
373,584,170,505,413,134,1,1,1,2,2,1170,,,,
374,458,43,365,127,326,1,1,1,2,2,985,,,,
375,63,431,353,381,157,0,0,0,0,0,1011,,,,
376,185,338,293,608,145,1,1,1,4,4,913,,,,
377,517,485,385,154,607,0,0,0,0,0,914,,,,
378,87,344,274,243,198,1,1,1,2,2,814,,,,
379,260,95,176,368,222,0,0,0,0,0,851,,,,
380,487,66,187,471,276,0,0,0,0,0,1181,,,,
381,120,615,308,53,391,0,0,0,0,0,426,,,,
382,629,285,41,419,596,1,1,1,2,2,731,,,,
383,386,592,621,335,223,0,0,0,0,0,993,,,,
384,254,150,210,239,76,1,1,1,2,2,963,,,,
385,244,216,396,116,8,1,1,1,2,2,791,,,,
386,311,426,230,615,65,0,0,0,0,0,653,,,,
387,363,498,223,298,462,0,0,0,0,0,729,,,,
388,484,421,405,259,399,0.666666667,1,0.8,2,3,811,,,,
389,210,155,229,331,640,1,1,1,3,3,870,,,,
390,240,328,5,408,489,1,1,1,2,2,543,,,,
391,405,312,297,553,476,0,0,0,0,0,746,,,,
392,271,401,551,346,141,0,0,0,0,0,917,,,,
393,300,587,370,367,2,1,1,1,2,2,982,,,,
394,219,384,19,182,144,1,1,1,3,3,805,,,,
395,473,212,58,357,248,0,0,0,0,0,584,,,,
396,128,528,383,223,373,1,1,1,4,4,922,,,,
397,325,315,85,6,501,0,0,0,0,0,863,,,,
398,24,617,613,294,626,0,0,0,0,0,782,,,,
399,630,193,599,1,78,0,0,0,0,0,565,,,,
400,188,395,162,26,641,1,1,1,3,3,744,,,,
401,329,367,116,395,434,0,0,0,0,0,737,,,,
402,609,351,558,488,278,0,0,0,0,0,577,,,,
403,347,161,530,191,493,1,1,1,2,2,515,,,,
404,171,195,381,426,66,1,1,1,2,2,869,,,,
405,87,488,601,80,359,1,1,1,4,4,739,,,,
406,123,355,626,289,285,1,1,1,2,2,926,,,,
407,129,617,60,650,76,0,0,0,0,0,889,,,,
408,500,333,639,382,102,0,0,0,0,0,584,,,,
409,324,453,106,508,307,0,0,0,0,0,1081,,,,
410,94,554,512,459,219,1,1,1,2,2,736,,,,
411,537,72,644,485,266,1,1,1,3,3,725,,,,
412,546,319,339,372,579,0,0,0,0,0,847,,,,
413,412,68,318,113,248,0,0,0,0,0,490,,,,
414,393,515,93,201,423,0,0,0,0,0,605,,,,
415,307,45,122,90,156,1,1,1,2,2,821,,,,
416,381,16,527,76,57,0,0,0,0,0,894,,,,
417,591,224,372,480,140,0,0,0,0,0,528,,,,
418,211,56,89,127,587,1,1,1,2,2,804,,,,
419,467,520,16,376,405,1,1,1,2,2,823,,,,
420,477,492,110,89,225,0,0,0,0,0,868,,,,
421,378,473,361,265,590,1,1,1,3,3,976,,,,
422,238,435,581,621,590,0,0,0,0,0,521,,,,
423,302,602,185,528,605,0,0,0,0,0,875,,,,
424,203,451,274,7,629,0.666666667,1,0.8,2,3,793,,,,
425,446,26,178,630,641,1,1,1,4,4,692,,,,
426,586,127,31,132,12,1,1,1,4,4,789,,,,
427,409,134,217,54,270,0,0,0,0,0,666,,,,
428,188,51,502,94,588,1,1,1,2,2,812,,,,
429,607,284,336,3,404,0,0,0,0,0,533,,,,
430,435,485,306,541,583,0,0,0,0,0,779,,,,
431,500,266,11,443,84,0,0,0,0,0,489,,,,
432,277,308,646,36,629,0,0,0,0,0,948,,,,
433,612,574,562,129,597,1,1,1,4,4,850,,,,
434,557,575,553,206,423,0,0,0,0,0,831,,,,
435,375,172,252,281,591,1,1,1,3,3,1025,,,,
436,276,514,35,356,167,0,0,0,0,0,1054,,,,
437,221,96,373,9,449,1,1,1,4,4,900,,,,
438,361,18,430,487,496,0,0,0,0,0,800,,,,
439,78,84,634,93,126,1,1,1,4,4,1080,,,,
440,398,504,499,600,378,0,0,0,0,0,787,,,,
441,334,72,53,159,156,1,1,1,2,2,1207,,,,
442,340,241,377,317,146,0,0,0,0,0,648,,,,
443,157,25,409,203,462,0,0,0,0,0,595,,,,
444,546,325,106,443,144,1,1,1,3,3,914,,,,
445,517,266,630,590,509,1,1,1,2,2,862,,,,
446,423,332,200,311,278,0,0,0,0,0,800,,,,
447,411,392,403,189,8,0.833333333,1,0.909090909,5,6,1133,,,,
448,363,128,609,586,141,0,0,0,0,0,975,,,,
449,575,161,527,424,439,0,0,0,0,0,804,,,,
450,582,6,338,36,594,1,1,1,4,4,1057,,,,
451,528,49,128,326,290,0,0,0,0,0,1014,,,,
452,196,202,529,603,466,0,0,0,0,0,752,,,,
453,350,120,480,460,88,1,1,1,2,2,891,,,,
454,23,400,143,459,328,0,0,0,0,0,1135,,,,
455,622,552,9,263,207,1,1,1,2,2,607,,,,
456,321,12,33,353,461,1,1,1,5,5,789,,,,
457,368,24,18,153,233,0.666666667,1,0.8,2,3,973,,,,
458,473,393,496,594,288,1,1,1,3,3,943,,,,
459,88,400,264,314,197,0,0,0,0,0,1002,,,,
460,274,408,393,405,7,0,0,0,0,0,826,,,,
461,633,252,60,41,259,1,1,1,2,2,810,,,,
462,221,526,54,179,294,1,1,1,3,3,662,,,,
463,245,27,454,110,563,0,0,0,0,0,791,,,,
464,570,615,156,188,212,1,1,1,4,4,785,,,,
465,81,180,420,24,77,0,0,0,0,0,604,,,,
466,480,345,594,333,166,0,0,0,0,0,930,,,,
467,245,617,107,508,544,0,0,0,0,0,995,,,,
468,205,135,6,313,332,1,1,1,2,2,852,,,,
469,121,54,574,177,354,0,0,0,0,0,816,,,,
470,591,51,508,639,484,0,0,0,0,0,562,,,,
471,212,475,346,581,245,0.666666667,1,0.8,2,3,471,,,,
472,329,632,451,231,586,0,0,0,0,0,716,,,,
