User0,User1,User2,SL item đánh giá chung
388.0,397.0,105.0,8.0
174.0,15.0,466.0,5.0
613.0,645.0,129.0,2.0
565.0,496.0,357.0,3.0
80.0,324.0,556.0,3.0
112.0,281.0,184.0,5.0
653.0,29.0,512.0,4.0
559.0,633.0,276.0,6.0
139.0,470.0,59.0,6.0
369.0,405.0,134.0,5.0
372.0,559.0,365.0,9.0
197.0,213.0,370.0,1.0
623.0,455.0,572.0,4.0
632.0,146.0,610.0,7.0
296.0,631.0,33.0,5.0
524.0,253.0,231.0,9.0
306.0,373.0,207.0,5.0
165.0,62.0,376.0,4.0
348.0,6.0,197.0,6.0
631.0,597.0,580.0,9.0
509.0,371.0,312.0,12.0
451.0,474.0,645.0,8.0
106.0,139.0,463.0,6.0
481.0,381.0,563.0,10.0
68.0,271.0,425.0,12.0
63.0,31.0,273.0,5.0
608.0,518.0,233.0,12.0
562.0,365.0,605.0,9.0
259.0,357.0,279.0,8.0
438.0,539.0,488.0,9.0
84.0,398.0,628.0,6.0
1.0,236.0,167.0,8.0
494.0,42.0,636.0,12.0
429.0,44.0,95.0,6.0
393.0,619.0,350.0,6.0
121.0,168.0,545.0,6.0
296.0,307.0,640.0,10.0
433.0,584.0,174.0,9.0
642.0,293.0,376.0,9.0
262.0,169.0,361.0,5.0
181.0,257.0,224.0,13.0
135.0,193.0,481.0,3.0
493.0,282.0,230.0,7.0
171.0,316.0,436.0,8.0
383.0,328.0,423.0,8.0
109.0,396.0,54.0,4.0
104.0,361.0,460.0,8.0
564.0,360.0,643.0,7.0
659.0,304.0,403.0,10.0
198.0,474.0,570.0,3.0
5.0,71.0,577.0,11.0
187.0,94.0,470.0,6.0
548.0,462.0,150.0,10.0
144.0,509.0,638.0,8.0
566.0,24.0,222.0,6.0
595.0,203.0,555.0,3.0
579.0,498.0,304.0,9.0
177.0,365.0,171.0,8.0
309.0,62.0,213.0,10.0
602.0,217.0,318.0,1.0
280.0,557.0,644.0,6.0
259.0,278.0,462.0,8.0
23.0,233.0,5.0,14.0
156.0,555.0,355.0,8.0
631.0,192.0,117.0,3.0
447.0,150.0,523.0,5.0
554.0,30.0,528.0,12.0
580.0,49.0,48.0,11.0
175.0,242.0,219.0,11.0
11.0,193.0,122.0,8.0
532.0,152.0,513.0,11.0
144.0,251.0,64.0,6.0
2.0,191.0,508.0,3.0
627.0,319.0,488.0,2.0
307.0,606.0,125.0,9.0
66.0,546.0,136.0,3.0
424.0,43.0,321.0,5.0
543.0,37.0,205.0,9.0
239.0,634.0,204.0,11.0
61.0,201.0,221.0,10.0
572.0,184.0,326.0,7.0
650.0,469.0,12.0,8.0
320.0,24.0,516.0,11.0
573.0,209.0,467.0,6.0
74.0,202.0,294.0,6.0
523.0,446.0,627.0,9.0
571.0,138.0,1.0,4.0
226.0,64.0,128.0,7.0
144.0,7.0,171.0,15.0
397.0,197.0,595.0,11.0
41.0,114.0,645.0,8.0
175.0,461.0,27.0,8.0
361.0,545.0,578.0,8.0
213.0,622.0,340.0,11.0
585.0,68.0,231.0,6.0
556.0,650.0,162.0,3.0
544.0,525.0,139.0,8.0
