User0,User1,SL item đánh giá chung
275.0,120.0,57.0
560.0,531.0,53.0
318.0,508.0,46.0
497.0,256.0,62.0
532.0,256.0,56.0
651.0,516.0,52.0
224.0,11.0,46.0
225.0,93.0,49.0
170.0,333.0,43.0
486.0,272.0,69.0
220.0,495.0,47.0
203.0,600.0,41.0
520.0,449.0,54.0
252.0,273.0,49.0
406.0,452.0,51.0
94.0,443.0,51.0
103.0,300.0,40.0
386.0,515.0,43.0
437.0,6.0,56.0
41.0,417.0,41.0
142.0,356.0,55.0
314.0,625.0,48.0
534.0,443.0,50.0
166.0,570.0,63.0
587.0,620.0,48.0
114.0,452.0,44.0
166.0,600.0,56.0
602.0,23.0,54.0
637.0,476.0,44.0
36.0,22.0,59.0
648.0,425.0,52.0
26.0,581.0,39.0
522.0,576.0,44.0
158.0,112.0,61.0
545.0,621.0,46.0
226.0,322.0,54.0
260.0,328.0,52.0
100.0,517.0,52.0
69.0,614.0,49.0
113.0,518.0,32.0
58.0,447.0,50.0
10.0,433.0,64.0
236.0,5.0,53.0
69.0,521.0,49.0
188.0,40.0,50.0
367.0,213.0,49.0
228.0,379.0,35.0
271.0,205.0,52.0
657.0,562.0,42.0
74.0,291.0,42.0
584.0,626.0,45.0
626.0,198.0,46.0
354.0,239.0,51.0
598.0,324.0,52.0
95.0,600.0,40.0
355.0,364.0,42.0
589.0,530.0,52.0
603.0,59.0,48.0
182.0,35.0,54.0
38.0,546.0,45.0
533.0,453.0,45.0
626.0,162.0,54.0
85.0,1.0,53.0
437.0,325.0,49.0
171.0,336.0,56.0
163.0,140.0,59.0
147.0,366.0,44.0
288.0,146.0,57.0
218.0,560.0,50.0
234.0,298.0,41.0
66.0,630.0,53.0
255.0,154.0,52.0
196.0,479.0,49.0
63.0,187.0,60.0
523.0,126.0,47.0
108.0,576.0,34.0
588.0,356.0,44.0
4.0,198.0,56.0
497.0,491.0,58.0
354.0,170.0,46.0
120.0,307.0,52.0
282.0,520.0,48.0
227.0,68.0,37.0
28.0,447.0,52.0
85.0,237.0,50.0
632.0,112.0,52.0
224.0,92.0,49.0
518.0,441.0,56.0
297.0,531.0,39.0
491.0,138.0,52.0
379.0,201.0,40.0
376.0,463.0,50.0
29.0,53.0,46.0
209.0,219.0,47.0
323.0,3.0,39.0
80.0,32.0,62.0
15.0,361.0,41.0
182.0,547.0,51.0
254.0,175.0,54.0
444.0,636.0,57.0
589.0,483.0,49.0
650.0,209.0,42.0
43.0,269.0,41.0
565.0,309.0,41.0
111.0,439.0,56.0
454.0,466.0,42.0
646.0,276.0,46.0
