,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
295,519,380,258,39,0.771929825,1,0.871287129,44,57,1324
296,312,138,296,559,0.833333333,1,0.909090909,35,42,1358
297,155,37,387,263,0.783783784,1,0.878787879,29,37,1305
298,38,496,484,99,0.707317073,1,0.828571429,29,41,1280
299,289,67,530,608,0.807017544,1,0.893203883,46,57,1288
300,251,471,249,479,0.697674419,1,0.821917808,30,43,1364
301,599,648,201,535,0.833333333,1,0.909090909,30,36,1337
302,244,575,136,591,0.723404255,1,0.839506173,34,47,1293
303,302,352,54,615,0.777777778,1,0.875,35,45,1398
304,589,628,408,423,0.717948718,1,0.835820896,28,39,1346
305,485,637,429,91,0.829268293,1,0.906666667,34,41,1352
306,375,205,308,61,0.754385965,1,0.86,43,57,1332
307,276,385,418,649,0.743589744,1,0.852941176,29,39,1354
308,39,576,168,534,0.8125,1,0.896551724,39,48,1291
309,445,40,300,49,0.8,1,0.888888889,40,50,1353
310,43,366,585,550,0.756756757,1,0.861538462,28,37,1315
311,630,626,109,616,0.785714286,1,0.88,33,42,1387
312,337,623,80,442,0.84,1,0.913043478,42,50,1260
313,383,471,70,256,0.8,1,0.888888889,36,45,1317
314,331,353,444,506,0.846153846,1,0.916666667,44,52,1383
315,521,616,280,4,0.836734694,1,0.911111111,41,49,1336
316,355,369,446,653,0.807692308,1,0.893617021,42,52,1414
317,194,289,554,330,0.693877551,1,0.819277108,34,49,1279
318,502,466,507,200,0.666666667,1,0.8,28,42,1271
319,279,473,206,579,0.790697674,1,0.883116883,34,43,1275
320,93,147,213,596,0.755555556,1,0.860759494,34,45,1328
321,439,505,371,333,0.761904762,1,0.864864865,32,42,1359
322,384,129,23,516,0.658536585,1,0.794117647,27,41,1317
323,31,116,516,649,0.723404255,1,0.839506173,34,47,1303
324,408,619,212,380,0.674418605,1,0.805555556,29,43,1250
325,203,567,289,344,0.775510204,1,0.873563218,38,49,1315
326,596,630,301,437,0.659090909,1,0.794520548,29,44,1332
327,476,347,348,180,0.72,1,0.837209302,36,50,1328
328,107,420,294,123,0.757575758,1,0.862068966,25,33,1323
329,79,264,588,544,0.708333333,1,0.829268293,34,48,1386
330,580,309,596,584,0.828571429,1,0.90625,29,35,1325
331,286,585,249,393,0.634146341,1,0.776119403,26,41,1296
332,468,457,138,291,0.788461538,1,0.88172043,41,52,1319
333,526,171,525,70,0.804347826,1,0.891566265,37,46,1286
334,597,53,542,496,0.763636364,1,0.865979381,42,55,1349
335,423,569,311,115,0.8,1,0.888888889,28,35,1285
336,296,338,13,57,0.813953488,1,0.897435897,35,43,1346
337,599,341,472,630,0.744680851,1,0.853658537,35,47,1344
338,346,351,425,145,0.783783784,1,0.878787879,29,37,1358
339,109,17,223,343,0.75,1,0.857142857,33,44,1273
340,598,412,330,343,0.75,1,0.857142857,33,44,1320
341,259,372,589,203,0.707317073,1,0.828571429,29,41,1370
342,301,369,505,81,0.697674419,1,0.821917808,30,43,1331
343,91,493,368,452,0.714285714,1,0.833333333,30,42,1304
344,324,367,625,569,0.733333333,1,0.846153846,33,45,1320
345,455,258,121,476,0.769230769,1,0.869565217,30,39,1383
346,364,500,587,593,0.744680851,1,0.853658537,35,47,1339
347,158,547,276,164,0.782608696,1,0.87804878,36,46,1367
348,98,287,119,22,0.755555556,1,0.860759494,34,45,1283
349,310,322,178,338,0.805555556,1,0.892307692,29,36,1278
350,555,198,13,539,0.84,1,0.913043478,42,50,1340
351,566,21,230,251,0.6875,1,0.814814815,22,32,1314
352,162,164,273,269,0.756097561,1,0.861111111,31,41,1314
353,345,262,110,409,0.820512821,1,0.901408451,32,39,1373
354,467,36,360,551,0.78,1,0.876404494,39,50,1305
355,141,377,196,62,0.791666667,1,0.88372093,38,48,1330
356,185,616,443,2,0.839285714,1,0.912621359,47,56,1361
357,175,228,181,363,0.780487805,1,0.876712329,32,41,1240
358,285,123,372,57,0.790697674,1,0.883116883,34,43,1350
359,119,66,363,74,0.790697674,1,0.883116883,34,43,1317
360,116,344,67,342,0.763157895,1,0.865671642,29,38,1311
361,405,307,303,206,0.71875,1,0.836363636,23,32,1360
362,590,373,471,560,0.6875,1,0.814814815,33,48,1325
363,616,466,533,16,0.666666667,1,0.8,22,33,1323
364,650,116,223,368,0.79245283,1,0.884210526,42,53,1367
365,241,455,50,168,0.677419355,1,0.807692308,21,31,1267
366,514,204,589,597,0.720930233,1,0.837837838,31,43,1294
367,12,369,196,370,0.681818182,1,0.810810811,30,44,1303
