,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
322,130,355,464,0.888888889,1,0.941176471,24,27,1464
323,34,510,191,1,1,1,26,26,1413
324,305,114,409,0.833333333,1,0.909090909,20,24,1494
325,348,195,513,0.913043478,1,0.954545455,21,23,1383
326,308,245,543,0.911764706,1,0.953846154,31,34,1395
327,235,353,356,0.863636364,1,0.926829268,19,22,1419
328,462,286,547,1,1,1,22,22,1517
329,439,38,523,0.866666667,1,0.928571429,13,15,1398
330,9,339,615,0.939393939,1,0.96875,31,33,1439
331,10,397,622,0.913043478,1,0.954545455,21,23,1387
332,14,655,290,0.882352941,1,0.9375,30,34,1445
333,601,307,398,0.875,1,0.933333333,21,24,1421
334,620,412,498,0.965517241,1,0.98245614,28,29,1511
335,380,375,205,0.9,1,0.947368421,27,30,1436
336,359,607,333,1,1,1,25,25,1384
337,35,574,36,0.76,1,0.863636364,19,25,1391
338,109,219,382,0.952380952,1,0.975609756,20,21,1514
339,226,459,520,0.714285714,1,0.833333333,20,28,1507
340,200,285,194,0.894736842,1,0.944444444,17,19,1496
341,441,408,139,0.84,1,0.913043478,21,25,1422
342,340,81,376,0.826086957,1,0.904761905,19,23,1323
343,384,273,23,0.807692308,1,0.893617021,21,26,1408
344,241,238,433,0.823529412,1,0.903225806,28,34,1444
345,576,412,562,0.826086957,1,0.904761905,19,23,1394
346,41,521,295,0.875,1,0.933333333,14,16,1410
347,241,102,572,0.857142857,1,0.923076923,18,21,1372
348,223,91,135,0.965517241,1,0.98245614,28,29,1402
349,484,280,553,0.92,1,0.958333333,23,25,1441
350,374,291,51,0.9,1,0.947368421,18,20,1365
351,384,481,331,0.787878788,1,0.881355932,26,33,1441
352,472,52,617,0.826086957,1,0.904761905,19,23,1409
353,618,392,3,0.695652174,1,0.820512821,16,23,1441
354,603,596,16,0.8,1,0.888888889,12,15,1338
355,337,381,222,0.777777778,1,0.875,21,27,1343
356,265,532,224,0.885714286,1,0.939393939,31,35,1532
357,461,234,570,0.75,1,0.857142857,12,16,1483
358,41,509,338,0.90625,1,0.950819672,29,32,1460
359,161,493,332,0.875,1,0.933333333,21,24,1530
360,449,465,102,1,1,1,25,25,1410
361,219,79,248,0.833333333,1,0.909090909,15,18,1448
362,392,453,415,0.75,1,0.857142857,18,24,1450
363,169,372,395,0.941176471,1,0.96969697,32,34,1352
364,340,230,603,0.913043478,1,0.954545455,21,23,1383
365,578,202,429,0.869565217,1,0.930232558,20,23,1466
366,530,561,200,0.925925926,1,0.961538462,25,27,1417
367,578,489,124,0.9,1,0.947368421,18,20,1374
368,553,259,564,0.958333333,1,0.978723404,23,24,1400
369,495,259,644,0.923076923,1,0.96,24,26,1407
370,229,1,326,0.84,1,0.913043478,21,25,1490
371,470,386,205,0.944444444,1,0.971428571,17,18,1362
372,438,401,393,0.846153846,1,0.916666667,33,39,1453
373,401,31,250,0.875,1,0.933333333,21,24,1399
374,521,52,594,0.952380952,1,0.975609756,20,21,1398
375,637,341,480,0.857142857,1,0.923076923,12,14,1484
376,94,7,307,0.923076923,1,0.96,24,26,1450
377,217,24,640,0.956521739,1,0.977777778,22,23,1421
378,209,557,383,0.871794872,1,0.931506849,34,39,1496
379,645,375,514,0.861111111,1,0.925373134,31,36,1484
380,164,13,571,0.92,1,0.958333333,23,25,1399
381,286,299,526,0.875,1,0.933333333,21,24,1424
382,530,624,458,0.857142857,1,0.923076923,24,28,1450
383,403,398,227,0.833333333,1,0.909090909,20,24,1367
384,63,137,395,0.888888889,1,0.941176471,16,18,1379
385,138,407,542,0.823529412,1,0.903225806,14,17,1507
386,191,461,236,0.909090909,1,0.952380952,20,22,1412
387,431,454,188,0.882352941,1,0.9375,15,17,1321
