,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
295,358,639,0.882352941,1,0.9375,15,17,1661
296,521,209,0.8,1,0.888888889,8,10,1507
297,284,45,0.833333333,1,0.909090909,10,12,1640
298,213,586,0.923076923,1,0.96,12,13,1572
299,611,506,1,1,1,12,12,1508
300,349,384,1,1,1,11,11,1502
301,601,123,0.933333333,1,0.965517241,14,15,1681
302,66,234,0.909090909,1,0.952380952,10,11,1673
303,109,322,1,1,1,9,9,1641
304,539,623,0.857142857,1,0.923076923,6,7,1565
305,445,251,0.8,1,0.888888889,8,10,1598
306,625,547,1,1,1,14,14,1617
307,169,343,0.9,1,0.947368421,9,10,1662
308,650,266,1,1,1,13,13,1527
309,172,387,0.875,1,0.933333333,7,8,1664
310,328,171,0.846153846,1,0.916666667,11,13,1590
311,186,435,0.9,1,0.947368421,9,10,1651
312,262,625,1,1,1,4,4,1563
313,651,510,0.888888889,1,0.941176471,8,9,1594
314,338,262,0.9375,1,0.967741935,15,16,1541
315,130,566,0.875,1,0.933333333,7,8,1493
316,592,106,0.923076923,1,0.96,12,13,1642
317,301,236,0.5,1,0.666666667,2,4,1619
318,600,351,0.9,1,0.947368421,9,10,1532
319,468,415,0.9,1,0.947368421,9,10,1611
320,446,54,0.916666667,1,0.956521739,11,12,1697
321,405,60,0.875,1,0.933333333,7,8,1611
322,107,103,0.6,1,0.75,3,5,1592
323,331,9,1,1,1,16,16,1591
324,637,553,1,1,1,6,6,1601
325,243,84,1,1,1,6,6,1552
326,393,380,1,1,1,3,3,1582
327,385,309,1,1,1,10,10,1571
328,325,348,1,1,1,7,7,1614
329,185,25,1,1,1,12,12,1447
330,235,356,0.875,1,0.933333333,7,8,1627
331,88,480,1,1,1,3,3,1591
332,420,637,1,1,1,12,12,1585
333,598,398,1,1,1,5,5,1657
334,201,218,0.866666667,1,0.928571429,13,15,1600
335,507,244,0.875,1,0.933333333,14,16,1608
336,238,70,0.888888889,1,0.941176471,8,9,1569
337,75,384,1,1,1,7,7,1495
338,8,323,1,1,1,10,10,1496
339,19,632,0.8,1,0.888888889,4,5,1512
340,585,164,0.909090909,1,0.952380952,10,11,1551
341,413,569,0.625,1,0.769230769,5,8,1576
342,82,567,0.714285714,1,0.833333333,5,7,1560
343,288,475,0.833333333,1,0.909090909,5,6,1606
344,143,610,0.857142857,1,0.923076923,12,14,1636
345,391,601,0.846153846,1,0.916666667,11,13,1684
346,496,542,0.866666667,1,0.928571429,13,15,1656
347,307,506,1,1,1,13,13,1603
348,549,36,0.888888889,1,0.941176471,8,9,1627
349,321,371,1,1,1,11,11,1565
350,352,461,1,1,1,8,8,1639
351,466,518,0.769230769,1,0.869565217,10,13,1622
352,219,199,1,1,1,10,10,1633
353,45,636,0.785714286,1,0.88,11,14,1515
354,155,271,0.8125,1,0.896551724,13,16,1651
355,243,224,1,1,1,12,12,1611
356,544,293,1,1,1,8,8,1619
357,499,177,0.846153846,1,0.916666667,11,13,1533
358,339,80,1,1,1,7,7,1489
359,482,228,0.916666667,1,0.956521739,11,12,1572
360,484,653,0.857142857,1,0.923076923,6,7,1620
361,645,252,0.666666667,1,0.8,4,6,1588
362,495,77,0.875,1,0.933333333,7,8,1672
363,123,121,0.857142857,1,0.923076923,12,14,1632
