,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
266,128,515,1,1,1,4,4,1713
267,534,129,1,1,1,4,4,1700
268,190,113,1,1,1,11,11,1724
269,504,631,1,1,1,3,3,1755
270,398,159,1,1,1,7,7,1755
271,148,116,0.833333333,1,0.909090909,5,6,1713
272,632,564,1,1,1,8,8,1788
273,587,428,1,1,1,4,4,1738
274,171,115,1,1,1,8,8,1773
275,400,581,1,1,1,5,5,1731
276,283,401,0.75,1,0.857142857,3,4,1625
277,14,517,1,1,1,8,8,1747
278,483,194,1,1,1,5,5,1670
279,550,540,1,1,1,4,4,1656
280,461,119,0.75,1,0.857142857,3,4,1635
281,455,146,0.8,1,0.888888889,4,5,1732
282,282,453,1,1,1,5,5,1764
283,637,256,1,1,1,3,3,1799
284,498,129,1,1,1,8,8,1754
285,606,216,0.75,1,0.857142857,3,4,1856
286,276,268,1,1,1,3,3,1662
287,431,645,1,1,1,9,9,1741
288,554,424,1,1,1,3,3,1717
289,493,564,1,1,1,6,6,1800
290,437,129,1,1,1,9,9,1753
291,536,354,1,1,1,8,8,1660
292,508,430,1,1,1,9,9,1795
293,99,120,1,1,1,8,8,1798
294,225,570,0.833333333,1,0.909090909,5,6,1699
295,498,488,1,1,1,10,10,1746
296,67,352,0.888888889,1,0.941176471,8,9,1708
297,335,534,1,1,1,5,5,1687
298,601,7,1,1,1,7,7,1756
299,36,563,1,1,1,3,3,1708
300,162,151,0.875,1,0.933333333,7,8,1806
301,428,304,1,1,1,4,4,1708
302,524,7,1,1,1,4,4,1661
303,638,497,1,1,1,4,4,1774
304,365,110,1,1,1,7,7,1780
305,503,530,1,1,1,2,2,1685
306,490,232,1,1,1,12,12,1667
307,29,613,1,1,1,9,9,1637
308,40,343,1,1,1,8,8,1702
309,75,167,0.666666667,1,0.8,2,3,1640
310,614,520,1,1,1,10,10,1647
311,392,559,1,1,1,9,9,1768
312,378,59,0.714285714,1,0.833333333,5,7,1645
313,21,539,0.8,1,0.888888889,4,5,1755
314,416,547,0.888888889,1,0.941176471,8,9,1669
315,161,140,1,1,1,2,2,1706
316,173,111,0.875,1,0.933333333,7,8,1801
317,554,556,1,1,1,8,8,1709
318,503,610,1,1,1,9,9,1654
319,366,626,0.857142857,1,0.923076923,6,7,1699
320,117,392,1,1,1,2,2,1775
321,483,6,1,1,1,6,6,1732
322,579,494,1,1,1,3,3,1697
323,478,333,1,1,1,3,3,1797
324,529,159,1,1,1,4,4,1817
325,484,427,1,1,1,5,5,1632
326,495,580,1,1,1,6,6,1613
327,227,133,0.833333333,1,0.909090909,5,6,1694
328,82,186,1,1,1,4,4,1725
329,60,435,0.8,1,0.888888889,4,5,1733
330,400,513,0.666666667,1,0.8,4,6,1754
331,498,239,1,1,1,6,6,1742
332,121,590,1,1,1,7,7,1729
333,244,107,1,1,1,6,6,1664
334,224,439,1,1,1,7,7,1819
335,216,1,1,1,1,4,4,1743
336,24,340,0.777777778,1,0.875,7,9,1695
337,30,126,0,0,0,0,0,1631
338,180,126,0.666666667,1,0.8,4,6,1695
339,404,317,1,1,1,7,7,1763
340,301,541,1,1,1,4,4,1811
341,422,325,1,1,1,4,4,1735
342,408,480,0.818181818,1,0.9,9,11,1683
343,492,275,1,1,1,6,6,1647
344,478,211,1,1,1,2,2,1732
345,370,648,1,1,1,7,7,1692
346,311,528,1,1,1,3,3,1720
347,79,579,0.928571429,1,0.962962963,13,14,1722
348,385,333,1,1,1,5,5,1779
349,508,475,1,1,1,4,4,1775
350,83,381,1,1,1,7,7,1641
351,432,284,0.833333333,1,0.909090909,5,6,1690
352,539,200,1,1,1,6,6,1815
353,464,140,1,1,1,5,5,1664
354,15,203,1,1,1,4,4,1744
355,103,117,1,1,1,3,3,1718
356,101,567,1,1,1,8,8,1702
357,397,585,1,1,1,5,5,1699
358,257,646,1,1,1,3,3,1721
359,638,286,1,1,1,4,4,1783
360,593,124,1,1,1,4,4,1724
361,573,356,1,1,1,7,7,1765
362,6,464,1,1,1,6,6,1750
363,315,281,0.75,1,0.857142857,3,4,1661
364,611,259,0.714285714,1,0.833333333,5,7,1681
365,57,471,1,1,1,5,5,1708
366,311,285,1,1,1,9,9,1685
367,486,517,1,1,1,3,3,1734
368,600,383,1,1,1,8,8,1752
369,549,280,1,1,1,7,7,1722
370,167,585,1,1,1,7,7,1690
371,538,8,0.857142857,1,0.923076923,6,7,1725
372,622,58,0.857142857,1,0.923076923,6,7,1763
373,498,398,1,1,1,4,4,1831
374,192,84,1,1,1,4,4,1793
375,613,102,0.75,1,0.857142857,3,4,1665
376,302,640,0.75,1,0.857142857,3,4,1780
377,10,408,0.916666667,1,0.956521739,11,12,1739
378,543,277,0.714285714,1,0.833333333,5,7,1786
379,97,55,1,1,1,4,4,1698
380,571,631,0.75,1,0.857142857,3,4,1674
381,534,180,0.875,1,0.933333333,7,8,1699
382,62,446,0.8,1,0.888888889,4,5,1741
383,336,372,0.8,1,0.888888889,4,5,1787
384,306,281,1,1,1,4,4,1726
385,70,346,1,1,1,7,7,1749
386,495,254,1,1,1,9,9,1744
387,149,45,1,1,1,5,5,1687
388,112,442,0.8,1,0.888888889,4,5,1821
389,250,402,1,1,1,5,5,1733
390,434,320,1,1,1,3,3,1647
391,382,588,1,1,1,9,9,1730
392,5,20,1,1,1,6,6,1733
393,50,155,0.916666667,1,0.956521739,11,12,1677
