,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
894,256,547,1,1,1,6,6,1722
895,628,120,0.875,1,0.933333333,7,8,1786
896,16,469,1,1,1,7,7,1688
897,281,76,0.923076923,1,0.96,12,13,1735
898,127,222,1,1,1,6,6,1744
899,216,433,0.833333333,1,0.909090909,5,6,1703
900,185,218,1,1,1,6,6,1821
901,595,501,0.833333333,1,0.909090909,5,6,1684
902,163,486,1,1,1,2,2,1797
903,209,255,1,1,1,8,8,1706
904,3,469,1,1,1,8,8,1704
905,290,240,1,1,1,5,5,1756
906,288,304,0.875,1,0.933333333,7,8,1722
907,12,445,1,1,1,8,8,1704
908,209,571,1,1,1,7,7,1786
909,454,35,0.875,1,0.933333333,7,8,1792
910,159,240,0.9,1,0.947368421,9,10,1745
911,312,600,1,1,1,7,7,1682
912,83,427,0.875,1,0.933333333,7,8,1796
913,264,252,0.75,1,0.857142857,3,4,1685
914,353,512,1,1,1,8,8,1735
915,260,107,1,1,1,6,6,1758
916,115,599,1,1,1,4,4,1752
917,211,93,1,1,1,6,6,1768
918,485,462,1,1,1,4,4,1719
919,102,415,1,1,1,10,10,1768
920,254,187,1,1,1,9,9,1723
921,149,578,0.666666667,1,0.8,2,3,1738
922,275,545,1,1,1,6,6,1681
923,400,100,0.857142857,1,0.923076923,6,7,1725
924,429,209,1,1,1,3,3,1670
925,355,579,1,1,1,3,3,1633
926,317,572,1,1,1,5,5,1676
927,535,17,1,1,1,8,8,1709
928,238,402,1,1,1,8,8,1795
929,637,586,0.875,1,0.933333333,7,8,1690
930,546,431,1,1,1,6,6,1741
931,82,351,1,1,1,7,7,1654
932,412,386,1,1,1,8,8,1686
933,404,142,1,1,1,9,9,1634
934,414,231,1,1,1,5,5,1790
935,371,590,1,1,1,4,4,1716
936,117,525,1,1,1,3,3,1732
937,383,491,1,1,1,5,5,1688
