,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
229,203,280,375,0.846153846,1,0.916666667,11,13,1593
230,458,475,66,0.85,1,0.918918919,17,20,1610
231,292,326,39,0.75,1,0.857142857,15,20,1584
232,169,296,393,0.777777778,1,0.875,7,9,1583
233,371,116,152,0.8,1,0.888888889,8,10,1556
234,562,614,635,0.818181818,1,0.9,18,22,1500
235,495,509,582,0.863636364,1,0.926829268,19,22,1544
236,488,330,545,0.818181818,1,0.9,9,11,1570
237,138,613,582,0.785714286,1,0.88,11,14,1513
238,91,419,132,0.692307692,1,0.818181818,9,13,1628
239,171,231,3,0.80952381,1,0.894736842,17,21,1655
240,29,367,614,0.8125,1,0.896551724,13,16,1566
241,320,11,249,0.88,1,0.936170213,22,25,1700
242,328,536,550,0.833333333,1,0.909090909,10,12,1583
243,50,272,377,0.888888889,1,0.941176471,16,18,1619
244,611,97,304,0.733333333,1,0.846153846,11,15,1696
245,438,297,576,0.777777778,1,0.875,14,18,1601
246,280,627,550,0.92,1,0.958333333,23,25,1638
247,394,23,467,0.636363636,1,0.777777778,7,11,1580
248,559,232,301,0.857142857,1,0.923076923,12,14,1643
249,295,526,304,0.875,1,0.933333333,14,16,1666
250,282,244,178,0.727272727,1,0.842105263,8,11,1642
251,372,272,100,0.8,1,0.888888889,16,20,1607
252,63,67,506,0.882352941,1,0.9375,15,17,1624
253,81,329,482,0.785714286,1,0.88,11,14,1652
254,434,92,409,0.833333333,1,0.909090909,10,12,1573
255,485,102,263,0.75,1,0.857142857,12,16,1681
256,206,235,464,0.555555556,1,0.714285714,5,9,1601
257,415,126,497,0.904761905,1,0.95,19,21,1636
258,88,54,40,0.857142857,1,0.923076923,12,14,1599
259,506,226,53,0.714285714,1,0.833333333,10,14,1638
260,428,553,391,0.875,1,0.933333333,14,16,1527
261,251,517,26,0.823529412,1,0.903225806,14,17,1582
262,418,589,396,0.909090909,1,0.952380952,20,22,1629
263,209,482,258,0.888888889,1,0.941176471,16,18,1658
264,41,307,544,0.866666667,1,0.928571429,13,15,1524
265,369,7,287,0.8,1,0.888888889,12,15,1589
266,621,93,26,0.8,1,0.888888889,12,15,1547
267,340,407,55,0.909090909,1,0.952380952,20,22,1622
268,577,16,311,0.733333333,1,0.846153846,11,15,1609
269,423,106,643,0.769230769,1,0.869565217,10,13,1616
270,190,241,473,0.857142857,1,0.923076923,12,14,1581
271,558,308,29,0.833333333,1,0.909090909,20,24,1627
272,456,243,455,0.875,1,0.933333333,21,24,1634
273,514,44,94,0.692307692,1,0.818181818,9,13,1568
274,373,187,29,0.80952381,1,0.894736842,17,21,1637
275,86,550,607,0.8,1,0.888888889,12,15,1630
276,249,639,424,0.764705882,1,0.866666667,13,17,1669
277,463,237,320,0.75,1,0.857142857,9,12,1607
278,469,163,605,0.85,1,0.918918919,17,20,1648
279,544,468,588,0.666666667,1,0.8,6,9,1590
280,488,436,180,0.888888889,1,0.941176471,16,18,1607
281,434,23,281,0.888888889,1,0.941176471,16,18,1655
282,38,146,94,0.904761905,1,0.95,19,21,1641
283,390,244,469,0.863636364,1,0.926829268,19,22,1594
284,402,489,589,0.785714286,1,0.88,11,14,1638
285,465,468,507,0.823529412,1,0.903225806,14,17,1553
