,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
248,172,383,284,84,0.772727273,1,0.871794872,34,44,1484
249,38,80,575,317,0.805555556,1,0.892307692,29,36,1565
250,269,143,249,261,0.733333333,1,0.846153846,22,30,1558
251,348,160,556,454,0.756756757,1,0.861538462,28,37,1489
252,428,159,147,215,0.571428571,1,0.727272727,16,28,1545
253,602,59,239,146,0.681818182,1,0.810810811,15,22,1550
254,298,88,62,19,0.692307692,1,0.818181818,18,26,1514
255,408,362,164,510,0.68,1,0.80952381,17,25,1545
256,495,343,298,428,0.75,1,0.857142857,21,28,1537
257,73,570,26,618,0.769230769,1,0.869565217,30,39,1541
258,117,135,397,334,0.733333333,1,0.846153846,22,30,1495
259,121,531,237,336,0.7,1,0.823529412,21,30,1607
260,375,532,265,394,0.68,1,0.80952381,17,25,1511
261,468,319,469,164,0.5,1,0.666666667,8,16,1476
262,278,538,209,117,0.794117647,1,0.885245902,27,34,1510
263,606,151,19,267,0.733333333,1,0.846153846,22,30,1577
264,355,369,366,298,0.75,1,0.857142857,21,28,1491
265,414,67,327,596,0.71875,1,0.836363636,23,32,1487
266,302,214,35,183,0.72,1,0.837209302,18,25,1568
267,206,603,483,40,0.810810811,1,0.895522388,30,37,1490
268,409,608,420,195,0.771428571,1,0.870967742,27,35,1504
269,452,432,42,321,0.724137931,1,0.84,21,29,1428
270,536,297,557,78,0.777777778,1,0.875,28,36,1598
271,562,649,203,211,0.757575758,1,0.862068966,25,33,1533
272,302,540,584,483,0.666666667,1,0.8,18,27,1502
273,559,5,151,142,0.636363636,1,0.777777778,14,22,1591
274,135,547,183,504,0.771428571,1,0.870967742,27,35,1503
275,514,129,229,191,0.653846154,1,0.790697674,17,26,1498
276,187,518,277,333,0.78125,1,0.877192982,25,32,1564
277,289,398,446,381,0.620689655,1,0.765957447,18,29,1459
278,72,34,226,264,0.709677419,1,0.830188679,22,31,1477
279,119,144,210,449,0.714285714,1,0.833333333,20,28,1422
280,459,58,501,48,0.774193548,1,0.872727273,24,31,1560
281,221,371,54,459,0.652173913,1,0.789473684,15,23,1508
282,602,88,156,206,0.608695652,1,0.756756757,14,23,1578
283,72,245,642,92,0.708333333,1,0.829268293,17,24,1478
284,431,52,614,646,0.619047619,1,0.764705882,13,21,1486
285,614,132,256,487,0.666666667,1,0.8,22,33,1483
286,184,432,586,409,0.733333333,1,0.846153846,22,30,1491
287,273,362,412,617,0.724137931,1,0.84,21,29,1571
288,429,36,328,460,0.774193548,1,0.872727273,24,31,1557
289,85,26,201,70,0.678571429,1,0.808510638,19,28,1567
290,173,334,310,469,0.526315789,1,0.689655172,10,19,1536
291,164,73,359,343,0.607142857,1,0.755555556,17,28,1498
292,363,305,224,560,0.730769231,1,0.844444444,19,26,1506
293,389,522,184,407,0.666666667,1,0.8,16,24,1518
294,468,487,502,431,0.677419355,1,0.807692308,21,31,1542
295,598,333,546,129,0.730769231,1,0.844444444,19,26,1590
296,57,370,484,327,0.777777778,1,0.875,28,36,1536
297,43,98,52,361,0.766666667,1,0.867924528,23,30,1542
298,651,631,196,332,0.590909091,1,0.742857143,13,22,1520
299,151,450,632,607,0.689655172,1,0.816326531,20,29,1536
300,600,213,272,290,0.689655172,1,0.816326531,20,29,1560
301,193,401,35,252,0.7,1,0.823529412,21,30,1587
302,561,345,408,339,0.72,1,0.837209302,18,25,1510
303,158,546,406,39,0.666666667,1,0.8,14,21,1508
304,308,648,281,311,0.666666667,1,0.8,14,21,1536
305,121,451,496,561,0.666666667,1,0.8,14,21,1556
306,618,228,192,382,0.815789474,1,0.898550725,31,38,1557
307,59,153,644,478,0.730769231,1,0.844444444,19,26,1549
308,278,374,311,108,0.783783784,1,0.878787879,29,37,1567
309,281,484,207,425,0.829268293,1,0.906666667,34,41,1522
310,588,10,193,324,0.666666667,1,0.8,18,27,1483
311,216,286,420,100,0.692307692,1,0.818181818,18,26,1516
312,512,24,223,212,0.735294118,1,0.847457627,25,34,1551
313,414,141,286,80,0.565217391,1,0.722222222,13,23,1470
314,171,182,274,93,0.689655172,1,0.816326531,20,29,1497
315,485,31,501,621,0.756756757,1,0.861538462,28,37,1551
316,57,276,633,282,0.722222222,1,0.838709677,26,36,1517
317,21,554,124,516,0.75,1,0.857142857,30,40,1526
318,473,73,263,347,0.703703704,1,0.826086957,19,27,1497
319,590,38,592,304,0.6875,1,0.814814815,22,32,1544
320,270,256,218,177,0.703703704,1,0.826086957,19,27,1442
321,578,475,381,272,0.757575758,1,0.862068966,25,33,1539
322,587,457,486,190,0.740740741,1,0.85106383,20,27,1482
323,482,65,578,63,0.64,1,0.780487805,16,25,1553
324,171,589,340,633,0.75,1,0.857142857,27,36,1459
325,515,58,125,298,0.766666667,1,0.867924528,23,30,1552
326,435,441,588,123,0.75,1,0.857142857,24,32,1539
327,296,161,629,9,0.666666667,1,0.8,16,24,1529
328,226,538,469,210,0.5,1,0.666666667,10,20,1571
329,104,147,454,382,0.78125,1,0.877192982,25,32,1552
330,614,162,28,379,0.794871795,1,0.885714286,31,39,1481
331,450,395,460,615,0.75,1,0.857142857,21,28,1591
332,310,161,282,292,0.586206897,1,0.739130435,17,29,1525
333,376,379,88,25,0.75,1,0.857142857,24,32,1559
334,108,350,281,187,0.794871795,1,0.885714286,31,39,1515
335,224,548,221,210,0.64516129,1,0.784313725,20,31,1474
336,281,471,582,180,0.741935484,1,0.851851852,23,31,1510
337,276,172,334,115,0.608695652,1,0.756756757,14,23,1489
338,67,118,449,110,0.75862069,1,0.862745098,22,29,1472
339,60,387,58,646,0.724137931,1,0.84,21,29,1565
340,119,211,219,513,0.75862069,1,0.862745098,22,29,1471
341,648,305,478,530,0.757575758,1,0.862068966,25,33,1540
342,80,56,202,382,0.72,1,0.837209302,18,25,1507
343,572,510,389,644,0.703703704,1,0.826086957,19,27,1534
344,472,48,447,2,0.681818182,1,0.810810811,15,22,1509
345,194,569,370,208,0.75,1,0.857142857,24,32,1512
346,204,634,626,403,0.756756757,1,0.861538462,28,37,1482
347,397,77,217,80,0.653846154,1,0.790697674,17,26,1497
348,357,229,21,76,0.666666667,1,0.8,22,33,1557
349,372,397,484,548,0.714285714,1,0.833333333,20,28,1470
350,239,20,613,232,0.7,1,0.823529412,21,30,1517
351,115,573,38,354,0.789473684,1,0.882352941,30,38,1565
352,460,453,459,192,0.733333333,1,0.846153846,22,30,1523
353,74,643,403,140,0.677419355,1,0.807692308,21,31,1484
354,325,571,556,217,0.735294118,1,0.847457627,25,34,1510
355,472,220,229,451,0.708333333,1,0.829268293,17,24,1552
356,315,605,247,128,0.681818182,1,0.810810811,15,22,1521
357,573,183,97,481,0.72972973,1,0.84375,27,37,1572
358,171,78,591,458,0.727272727,1,0.842105263,24,33,1534
359,530,19,548,616,0.65625,1,0.79245283,21,32,1541
360,649,480,394,68,0.741935484,1,0.851851852,23,31,1575
361,237,625,151,326,0.7,1,0.823529412,21,30,1547
362,84,477,538,250,0.771428571,1,0.870967742,27,35,1494
363,639,45,504,18,0.7,1,0.823529412,21,30,1516
